rating_id,user_id,movie_id,rating,review_date
R10001,15004,1137,4,01-11-2024
R10002,15017,1208,4.5,01-11-2024
R10003,15000,1433,4,01-11-2024
R10004,15021,2701,3.5,01-11-2024
R10005,15035,3710,4.5,02-11-2024
R10006,15001,1125,5,02-11-2024
R10007,15002,269,4,02-11-2024
R10008,15021,2754,4.5,02-11-2024
R10009,15004,2289,5,02-11-2024
R10010,15019,431,4.5,02-11-2024
R10011,15002,2722,3,02-11-2024
R10012,15021,2472,1,02-11-2024
R10013,15020,1661,3,03-11-2024
R10014,15049,3218,4.5,03-11-2024
R10015,15044,2691,3,03-11-2024
R10016,15022,4174,4.5,03-11-2024
R10017,15056,1595,4,03-11-2024
R10018,15054,3742,4,03-11-2024
R10019,15023,1976,4,03-11-2024
R10020,15007,2308,4.5,03-11-2024
R10021,15020,109,5,03-11-2024
R10022,15035,2841,5,03-11-2024
R10023,15020,3001,4.5,04-11-2024
R10025,15022,3741,4.5,04-11-2024
R10026,15005,980,5,04-11-2024
R10027,15044,1208,5,04-11-2024
R10028,15015,3405,5,04-11-2024
R10029,15083,2051,4,04-11-2024
R10030,15017,1732,5,04-11-2024
R10031,15004,636,4,04-11-2024
R10032,15056,2661,3,04-11-2024
R10033,15039,51,5,04-11-2024
R10034,15015,1175,2.5,04-11-2024
R10035,15002,2817,3.5,04-11-2024
R10036,15000,3787,5,04-11-2024
R10037,15002,1314,4,04-11-2024
R10038,15063,3150,5,04-11-2024
R10039,15059,2421,2.5,05-11-2024
R10040,15040,1698,5,05-11-2024
R10041,15054,3904,5,05-11-2024
R10042,15021,3000,2.5,05-11-2024
R10043,15024,1834,5,05-11-2024
R10044,15077,296,2.5,05-11-2024
R10046,15030,4177,2.5,05-11-2024
R10047,15061,4094,4,05-11-2024
R10048,15007,4049,3.5,05-11-2024
R10049,15000,331,4,05-11-2024
R10050,15110,3439,4,06-11-2024
R10051,15002,3681,5,06-11-2024
R10052,15095,447,4,06-11-2024
R10053,15035,3283,5,06-11-2024
R10054,15007,1529,4,06-11-2024
R10055,15004,194,4.5,06-11-2024
R10056,15052,45,5,06-11-2024
R10057,15049,472,3.5,06-11-2024
R10058,15085,673,5,06-11-2024
R10059,15020,2027,4.5,06-11-2024
R10060,15015,1406,3.5,06-11-2024
R10061,15056,823,5,06-11-2024
R10062,15077,3816,4.5,07-11-2024
R10064,15101,3710,5,07-11-2024
R10065,15104,1510,5,07-11-2024
R10066,15030,2669,4,07-11-2024
R10067,15061,1710,4.5,07-11-2024
R10068,15073,3742,4.5,07-11-2024
R10069,15103,1369,4,07-11-2024
R10070,15119,488,4,07-11-2024
R10071,15130,2723,3,07-11-2024
R10072,15072,1359,3,07-11-2024
R10073,15040,4025,4.5,07-11-2024
R10074,15020,3673,3.5,07-11-2024
R10075,15015,2720,3,07-11-2024
R10076,15119,488,4.5,07-11-2024
R10077,15023,1627,3,07-11-2024
R10078,15073,1170,5,07-11-2024
R10079,15021,1991,4.5,07-11-2024
R10080,15112,3155,3,07-11-2024
R10081,15023,4105,4,08-11-2024
R10082,15004,447,3.5,08-11-2024
R10083,15107,516,4.5,08-11-2024
R10084,15030,3783,4.5,08-11-2024
R10085,15078,1388,2.5,08-11-2024
R10086,15095,1150,4,08-11-2024
R10087,15030,1479,4,08-11-2024
R10088,15019,2479,4,08-11-2024
R10089,15134,446,5,08-11-2024
R10090,15076,2855,5,08-11-2024
R10091,15004,3533,5,08-11-2024
R10092,15044,2817,4,08-11-2024
R10093,15139,210,4,08-11-2024
R10094,15000,1684,4.5,08-11-2024
R10095,15082,790,4.5,08-11-2024
R10096,15128,1727,5,08-11-2024
R10097,15099,1513,4,08-11-2024
R10098,15004,4105,4,08-11-2024
R10099,15024,2912,5,08-11-2024
R10100,15107,3540,4.5,08-11-2024
R10101,15085,3579,5,08-11-2024
R10102,15110,1302,4,08-11-2024
R10103,15022,2952,4,08-11-2024
R10104,15126,982,4.5,08-11-2024
R10105,15112,3871,5,08-11-2024
R10106,15094,737,4,08-11-2024
R10107,15124,1229,3,08-11-2024
R10108,15094,3288,4.5,08-11-2024
R10109,15040,1303,3,09-11-2024
R10110,15167,378,5,09-11-2024
R10111,15063,3932,3.5,09-11-2024
R10112,15059,2418,5,09-11-2024
R10113,15099,488,4,09-11-2024
R10114,15083,1433,4.5,09-11-2024
R10115,15021,1665,1.5,09-11-2024
R10116,15021,4204,3.5,09-11-2024
R10117,15030,2912,1,09-11-2024
R10118,15166,3172,4.5,09-11-2024
R10119,15115,636,4,09-11-2024
R10120,15112,1347,3.5,09-11-2024
R10121,15124,1294,2,09-11-2024
R10122,15059,51,2,09-11-2024
R10123,15115,3224,4.5,09-11-2024
R10124,15022,1011,5,09-11-2024
R10125,15076,1597,3.5,09-11-2024
R10127,15021,2103,2,09-11-2024
R10128,15103,1084,3.5,09-11-2024
R10129,15063,552,4.5,09-11-2024
R10130,15145,3056,5,09-11-2024
R10131,15052,2946,4,09-11-2024
R10132,15015,2825,3.5,09-11-2024
R10133,15049,2268,5,09-11-2024
R10134,15130,187,5,09-11-2024
R10135,15049,3169,4.5,09-11-2024
R10136,15072,1612,3.5,09-11-2024
R10137,15021,2343,5,09-11-2024
R10138,15054,2223,4.5,09-11-2024
R10139,15107,3751,5,09-11-2024
R10140,15141,3506,4.5,09-11-2024
R10141,15079,1767,5,09-11-2024
R10142,15104,4214,3.5,09-11-2024
R10143,15030,650,5,09-11-2024
R10144,15020,3265,4.5,09-11-2024
R10145,15020,1698,4.5,09-11-2024
R10146,15154,4025,3.5,09-11-2024
R10147,15098,2407,4.5,09-11-2024
R10148,15081,2855,4.1,09-11-2024
R10149,15005,4025,4,09-11-2024
R10150,15017,799,5,09-11-2024
R10151,15136,3061,4,09-11-2024
R10152,15107,3859,5,10-11-2024
R10153,15110,126,4,10-11-2024
R10154,15020,1665,4,10-11-2024
R10155,15158,3871,4.5,10-11-2024
R10156,15020,4105,4.5,10-11-2024
R10157,15085,917,3.5,10-11-2024
R10158,15000,1531,5,10-11-2024
R10159,15175,1294,4,10-11-2024
R10160,15007,3150,4.5,10-11-2024
R10161,15183,1495,4,10-11-2024
R10162,15035,2027,4,10-11-2024
R10163,15152,1471,4,10-11-2024
R10164,15072,4212,4,10-11-2024
R10165,15120,1341,4,10-11-2024
R10166,15079,3932,4.5,10-11-2024
R10167,15105,109,4,10-11-2024
R10168,15158,2289,4,10-11-2024
R10169,15120,1732,3.5,10-11-2024
R10170,15073,2487,4.5,10-11-2024
R10171,15095,2132,4.5,10-11-2024
R10172,15059,1140,4,10-11-2024
R10173,15083,2015,3,10-11-2024
R10174,15072,2817,2,10-11-2024
R10175,15173,4025,4.1,10-11-2024
R10176,15077,799,4.5,10-11-2024
R10177,15128,41,5,10-11-2024
R10178,15139,1412,4,10-11-2024
R10179,15086,224,4,10-11-2024
R10180,15021,2863,4.5,10-11-2024
R10181,15077,3626,5,10-11-2024
R10182,15168,631,4.5,10-11-2024
R10183,15119,2140,4,10-11-2024
R10185,15085,965,5,10-11-2024
R10186,15167,462,3.5,10-11-2024
R10187,15158,4225,4,10-11-2024
R10188,15178,2812,3.5,10-11-2024
R10189,15094,4221,3.5,10-11-2024
R10190,15023,2027,3.5,10-11-2024
R10191,15179,4049,4,10-11-2024
R10192,15175,2041,3.5,10-11-2024
R10193,15049,3232,4.5,10-11-2024
R10194,15115,896,4.5,10-11-2024
R10195,15172,4177,3,10-11-2024
R10196,15095,2803,3,10-11-2024
R10197,15074,2563,2,11-11-2024
R10198,15072,270,4.5,11-11-2024
R10199,15002,3040,5,11-11-2024
R10200,15095,1006,5,11-11-2024
R10201,15103,219,5,11-11-2024
R10202,15020,3977,4.5,11-11-2024
R10203,15017,109,4.5,11-11-2024
R10204,15023,1105,4,11-11-2024
R10205,15015,3000,3.5,11-11-2024
R10206,15202,2842,5,11-11-2024
R10207,15019,1170,4.5,11-11-2024
R10208,15124,62,2.5,11-11-2024
R10209,15199,4008,4.5,11-11-2024
R10210,15052,2992,1.5,11-11-2024
R10211,15021,631,4,11-11-2024
R10212,15061,2722,3,11-11-2024
R10213,15049,3579,4.5,11-11-2024
R10214,15110,2584,3,11-11-2024
R10215,15078,1433,4.5,11-11-2024
R10216,15078,2882,5,11-11-2024
R10217,15094,4018,4,11-11-2024
R10218,15074,2315,5,11-11-2024
R10219,15094,378,4.5,11-11-2024
R10220,15202,2046,3.5,11-11-2024
R10221,15030,2401,4,11-11-2024
R10222,15178,2882,5,11-11-2024
R10223,15154,194,5,11-11-2024
R10224,15173,2289,5,11-11-2024
R10225,15192,1769,5,11-11-2024
R10226,15015,2281,5,11-11-2024
R10227,15072,683,4.5,11-11-2024
R10228,15150,4061,4.5,11-11-2024
R10229,15165,3409,4.5,11-11-2024
R10230,15020,3778,2.5,11-11-2024
R10231,15072,3613,5,12-11-2024
R10232,15179,2247,4.5,12-11-2024
R10233,15052,3844,3,12-11-2024
R10234,15095,2663,2.5,12-11-2024
R10235,15023,950,5,12-11-2024
R10236,15077,3637,5,12-11-2024
R10237,15145,366,5,12-11-2024
R10238,15178,3687,5,12-11-2024
R10239,15167,516,5,12-11-2024
R10240,15205,4063,4.5,12-11-2024
R10241,15199,1294,4.5,12-11-2024
R10242,15000,1909,5,12-11-2024
R10243,15175,1561,4.5,12-11-2024
R10244,15094,507,4.5,12-11-2024
R10245,15134,1014,3.5,12-11-2024
R10246,15145,3629,3,12-11-2024
R10247,15078,2090,5,12-11-2024
R10248,15023,86,4.5,12-11-2024
R10249,15134,3141,4.5,12-11-2024
R10250,15001,2289,4.5,12-11-2024
R10251,15073,3778,5,12-11-2024
R10252,15158,1137,4.5,12-11-2024
R10253,15130,2450,3.5,12-11-2024
R10254,15154,3844,3.5,12-11-2024
R10255,15099,857,5,12-11-2024
R10256,15095,610,5,12-11-2024
R10257,15056,1150,3.5,12-11-2024
R10258,15199,2669,2.5,12-11-2024
R10259,15136,488,4,12-11-2024
R10260,15213,3892,4,12-11-2024
R10261,15081,472,5,12-11-2024
R10262,15213,1013,5,12-11-2024
R10263,15095,2549,3,12-11-2024
R10264,15169,1620,4,12-11-2024
R10265,15094,2663,3,12-11-2024
R10266,15156,4225,4.5,12-11-2024
R10267,15105,2214,3.5,12-11-2024
R10268,15126,1147,4,13-11-2024
R10269,15017,1158,2.5,13-11-2024
R10270,15085,447,5,13-11-2024
R10271,15168,3148,4.5,13-11-2024
R10272,15171,1027,5,13-11-2024
R10273,15193,4098,4,13-11-2024
R10274,15112,662,4,13-11-2024
R10275,15166,2113,5,13-11-2024
R10276,15002,1081,5,13-11-2024
R10277,15179,3548,4,13-11-2024
R10278,15022,4140,4,13-11-2024
R10279,15054,3744,4.5,13-11-2024
R10280,15107,2723,3.5,13-11-2024
R10281,15168,3421,5,13-11-2024
R10282,15077,3757,4,13-11-2024
R10283,15015,2661,2.5,13-11-2024
R10284,15086,2942,4.5,13-11-2024
R10285,15178,1185,4.5,13-11-2024
R10286,15220,2945,4,13-11-2024
R10288,15004,2099,3,13-11-2024
R10289,15217,3738,5,13-11-2024
R10290,15039,2472,4,13-11-2024
R10291,15099,2066,5,13-11-2024
R10292,15015,3627,5,13-11-2024
R10293,15099,2041,4.5,13-11-2024
R10294,15001,2825,4,13-11-2024
R10295,15039,1701,5,13-11-2024
R10296,15104,2486,2,13-11-2024
R10297,15082,3410,4,13-11-2024
R10298,15023,1107,3.5,13-11-2024
R10299,15156,140,5,13-11-2024
R10300,15094,4200,5,13-11-2024
R10301,15077,2439,4.5,13-11-2024
R10302,15110,3742,5,13-11-2024
R10303,15119,1991,2.5,13-11-2024
R10304,15078,1175,3.5,13-11-2024
R10305,15104,1148,4,13-11-2024
R10306,15024,2366,4,13-11-2024
R10307,15217,1607,4.5,13-11-2024
R10308,15225,4177,3.5,13-11-2024
R10309,15107,3953,2.5,14-11-2024
R10310,15150,790,3.5,14-11-2024
R10311,15119,917,5,14-11-2024
R10312,15211,1003,4,14-11-2024
R10313,15105,4191,4,14-11-2024
R10314,15115,2418,4,14-11-2024
R10315,15145,1255,4,14-11-2024
R10316,15119,1208,4.5,14-11-2024
R10317,15209,913,2,14-11-2024
R10318,15044,2769,4,14-11-2024
R10319,15125,3570,2.5,14-11-2024
