watch_id,user_id,movie_id,watch_date,watch_duration,device_type
W20000,15013,2027,01-11-2024,115,Laptop
W20001,15008,2393,01-11-2024,135,Mobile
W20002,15015,437,01-11-2024,106,Laptop
W20003,15006,279,01-11-2024,9,Smart Tv
W20004,15004,1137,01-11-2024,99,Mobile
W20005,15003,1823,01-11-2024,126,Smart Tv
W20006,15017,2362,01-11-2024,150,Laptop
W20007,15018,2027,01-11-2024,6,Mobile
W20008,15017,1208,01-11-2024,103,Laptop
W20009,15008,913,01-11-2024,78,Smart Tv
W20010,15011,4229,01-11-2024,117,Laptop
W20011,15003,3844,01-11-2024,108,Smart Tv
W20012,15000,1433,01-11-2024,83,Smart Tv
W20013,15020,3787,01-11-2024,124,Smart Tv
W20014,15021,3008,01-11-2024,139,Unknown
W20015,15003,610,01-11-2024,55,Smart Tv
W20016,15021,2701,01-11-2024,57,Smart Tv
W20017,15012,1544,01-11-2024,102,Smart Tv
W20018,15014,1164,01-11-2024,112,Smart Tv
W20019,15016,921,01-11-2024,89,Laptop
W20020,15016,109,01-11-2024,100,Laptop
W20021,15009,4185,01-11-2024,91,Laptop
W20022,15012,504,01-11-2024,108,Laptop
W20023,15043,3056,02-11-2024,104,Laptop
W20024,15038,3859,02-11-2024,48,Mobile
W20025,15035,3710,02-11-2024,45,Mobile
W20026,15001,1125,02-11-2024,127,Laptop
W20027,15003,2869,02-11-2024,96,Laptop
W20028,15018,217,02-11-2024,127,Mobile
W20029,15000,3497,02-11-2024,114,Laptop
W20030,15011,646,02-11-2024,92,Laptop
W20031,15010,13,02-11-2024,70,Smart Tv
W20032,15031,834,02-11-2024,103,Smart Tv
W20033,15012,570,02-11-2024,141,Smart Tv
W20034,15040,2617,02-11-2024,115,Mobile
W20035,15002,269,02-11-2024,130,Laptop
W20036,15021,2754,02-11-2024,94,Mobile
W20037,15014,2825,02-11-2024,92,Mobile
W20038,15037,51,02-11-2024,137,Smart Tv
W20039,15021,2418,02-11-2024,112,Smart Tv
W20040,15015,1105,02-11-2024,106,Smart Tv
W20041,15040,4104,02-11-2024,98,Laptop
W20042,15012,1818,02-11-2024,98,Laptop
W20043,15006,3759,02-11-2024,105,Mobile
W20044,15031,4080,02-11-2024,121,Mobile
W20045,15027,118,02-11-2024,138,Smart Tv
W20046,15004,2289,02-11-2024,103,Mobile
W20047,15019,431,02-11-2024,110,Laptop
W20048,15032,3779,02-11-2024,89,Mobile
W20049,15042,1027,02-11-2024,78,Laptop
W20050,15038,3735,02-11-2024,105,Smart Tv
W20051,15000,1839,02-11-2024,103,Laptop
W20052,15009,3558,02-11-2024,84,Laptop
W20053,15002,2722,02-11-2024,78,Laptop
W20054,15033,1172,02-11-2024,125,Mobile
W20055,15012,1909,02-11-2024,92,Smart Tv
W20056,15001,1227,02-11-2024,137,Mobile
W20057,15014,1978,02-11-2024,115,Laptop
W20058,15021,4049,02-11-2024,157,Laptop
W20059,15018,472,02-11-2024,98,Laptop
W20060,15028,2015,02-11-2024,126,Laptop
W20061,15029,3993,02-11-2024,79,Smart Tv
W20062,15013,1418,02-11-2024,99,Laptop
W20063,15011,3190,02-11-2024,20,Smart Tv
W20064,15021,2472,02-11-2024,21,Smart Tv
W20065,15010,2723,02-11-2024,92,Mobile
W20066,15016,2879,02-11-2024,117,Smart Tv
W20067,15025,200,02-11-2024,92,Smart Tv
W20068,15033,1529,03-11-2024,91,Laptop
W20069,15016,1170,03-11-2024,150,Laptop
W20070,15028,1150,03-11-2024,134,Laptop
W20071,15028,48,03-11-2024,131,Smart Tv
W20072,15002,3772,03-11-2024,52,Laptop
W20073,15020,1661,03-11-2024,160,Laptop
W20074,15024,2762,03-11-2024,124,Laptop
W20075,15023,2825,03-11-2024,93,Smart Tv
W20076,15019,2278,03-11-2024,149,Laptop
W20077,15062,2761,03-11-2024,128,Mobile
W20078,15051,1671,03-11-2024,102,Smart Tv
W20079,15049,3218,03-11-2024,127,Laptop
W20080,15044,2691,03-11-2024,94,Mobile
W20081,15011,1896,03-11-2024,88,Laptop
W20082,15025,1739,03-11-2024,79,Mobile
W20083,15020,2012,03-11-2024,14,Laptop
W20084,15001,1698,03-11-2024,46,Mobile
W20085,15045,3439,03-11-2024,93,Laptop
W20086,15022,4174,03-11-2024,121,Mobile
W20087,15060,1216,03-11-2024,21,Laptop
W20088,15027,3160,03-11-2024,101,Laptop
W20089,15014,4105,03-11-2024,107,Smart Tv
W20090,15015,2942,03-11-2024,94,Smart Tv
W20091,15035,217,03-11-2024,129,Mobile
W20092,15065,1406,03-11-2024,108,Laptop
W20093,15065,3146,03-11-2024,21,Mobile
W20094,15050,3561,03-11-2024,94,Mobile
W20095,15031,3570,03-11-2024,113,Smart Tv
W20096,15028,86,03-11-2024,135,Mobile
W20097,15040,676,03-11-2024,18,Mobile
W20098,15047,4098,03-11-2024,67,Laptop
W20099,15029,380,03-11-2024,116,Smart Tv
W20100,15037,4174,03-11-2024,118,Smart Tv
W20101,15053,4105,03-11-2024,105,Mobile
W20102,15057,437,03-11-2024,63,Mobile
W20103,15016,3965,03-11-2024,98,Laptop
W20104,15018,269,03-11-2024,128,Laptop
W20105,15052,1054,03-11-2024,74,Smart Tv
W20106,15008,2041,03-11-2024,111,Laptop
W20107,15028,3101,03-11-2024,100,Laptop
W20108,15056,1595,03-11-2024,78,Laptop
W20109,15039,1767,03-11-2024,106,Mobile
W20110,15012,2090,03-11-2024,124,Smart Tv
W20111,15029,627,03-11-2024,127,Smart Tv
W20112,15054,3742,03-11-2024,55,Mobile
W20113,15034,2825,03-11-2024,89,Smart Tv
W20114,15003,15,03-11-2024,146,Smart Tv
W20115,15022,43,03-11-2024,159,Unknown
W20116,15023,1976,03-11-2024,59,Smart Tv
W20117,15064,1164,03-11-2024,108,Laptop
W20118,15022,1698,03-11-2024,113,Laptop
W20119,15007,2308,03-11-2024,58,Laptop
W20120,15032,2722,03-11-2024,4,Mobile
W20122,15025,2616,03-11-2024,66,Laptop
W20123,15047,2287,03-11-2024,107,Mobile
W20124,15010,1779,03-11-2024,104,Mobile
W20125,15039,2800,03-11-2024,88,Laptop
W20126,15006,3733,03-11-2024,113,Mobile
W20127,15020,109,03-11-2024,104,Laptop
W20128,15035,2841,03-11-2024,103,Smart Tv
W20129,15029,3053,03-11-2024,97,Laptop
W20130,15014,1767,04-11-2024,102,Mobile
W20131,15026,3021,04-11-2024,114,Mobile
W20132,15020,3001,04-11-2024,64,Smart Tv
W20133,15036,3582,04-11-2024,63,Laptop
W20134,15048,1170,04-11-2024,145,Smart Tv
W20135,15041,3816,04-11-2024,89,Laptop
W20136,15036,1529,04-11-2024,91,Smart Tv
W20137,15072,4105,04-11-2024,113,Mobile
W20138,15019,201,04-11-2024,99,Mobile
W20139,15022,3741,04-11-2024,70,Smart Tv
W20140,15005,980,04-11-2024,79,Laptop
W20141,15036,1388,04-11-2024,99,Unknown
W20142,15072,2817,04-11-2024,126,Toaster
W20143,15038,1093,04-11-2024,51,Smart Tv
W20144,15001,1216,04-11-2024,187,Laptop
W20145,15044,1208,04-11-2024,97,Mobile
W20146,15012,1437,04-11-2024,51,Laptop
W20147,15065,1260,04-11-2024,120,Laptop
W20148,15036,1484,04-11-2024,86,Smart Tv
W20149,15015,3405,04-11-2024,83,Laptop
W20150,15000,2886,04-11-2024,101,Smart Tv
W20151,15083,2051,04-11-2024,130,Laptop
W20152,15017,1732,04-11-2024,117,Mobile
W20153,15004,636,04-11-2024,100,Smart Tv
W20154,15046,1367,04-11-2024,186,Smart Tv
W20155,15008,3787,04-11-2024,119,Laptop
W20156,15026,279,04-11-2024,71,Mobile
W20157,15056,2661,04-11-2024,87,Laptop
W20158,15039,51,04-11-2024,134,Laptop
W20159,15068,1384,04-11-2024,95,Mobile
W20160,15022,1390,04-11-2024,188,Smart Tv
W20161,15068,1134,04-11-2024,114,Smart Tv
W20162,15015,1175,04-11-2024,25,Smart Tv
W20163,15004,174,04-11-2024,120,Mobile
W20164,15034,2349,04-11-2024,134,Mobile
W20165,15018,329,04-11-2024,115,Mobile
W20166,15003,3214,04-11-2024,95,Laptop
W20167,15033,1988,04-11-2024,106,Mobile
W20168,15002,2817,04-11-2024,79,Smart Tv
W20169,15060,1398,04-11-2024,96,Laptop
W20170,15000,3787,04-11-2024,119,Smart Tv
W20171,15075,2923,04-11-2024,122,Smart Tv
W20172,15048,3791,04-11-2024,88,Laptop
W20173,15082,1497,04-11-2024,98,Laptop
W20174,15043,676,04-11-2024,152,Smart Tv
W20175,15012,1779,04-11-2024,13,Smart Tv
W20176,15053,1054,04-11-2024,40,Laptop
W20177,15002,1314,04-11-2024,121,Laptop
W20178,15063,3150,04-11-2024,97,Laptop
W20179,15059,2421,05-11-2024,16,Mobile
W20180,15070,2460,05-11-2024,177,Smart Tv
W20181,15006,311,05-11-2024,93,Laptop
W20182,15020,2950,05-11-2024,92,Mobile
W20183,15065,1433,05-11-2024,40,Smart Tv
W20184,15006,1529,05-11-2024,52,Mobile
W20185,15014,799,05-11-2024,53,Laptop
W20186,15040,1698,05-11-2024,105,Mobile
W20187,15025,1406,05-11-2024,110,Mobile
W20188,15037,3579,05-11-2024,126,Laptop
W20189,15069,1514,05-11-2024,66,Smart Tv
W20190,15052,3627,05-11-2024,130,Laptop
W20191,15069,3844,05-11-2024,105,Smart Tv
W20192,15094,4104,05-11-2024,97,Smart Tv
W20193,15031,1648,05-11-2024,117,Smart Tv
W20194,15049,1199,05-11-2024,78,Mobile
W20195,15088,2540,05-11-2024,50,Laptop
W20196,15016,2393,05-11-2024,128,Smart Tv
W20197,15064,2529,05-11-2024,126,Mobile
W20198,15013,1494,05-11-2024,109,Mobile
W20199,15048,1734,05-11-2024,85,Shoe Box
W20200,15003,1839,05-11-2024,99,Smart Tv
W20201,15054,3904,05-11-2024,89,Mobile
W20202,15021,3000,05-11-2024,7,Laptop
W20203,15007,2373,05-11-2024,108,Mobile
W20204,15024,1834,05-11-2024,81,Laptop
W20205,15077,296,05-11-2024,10,Laptop
W20206,15085,552,05-11-2024,99,Smart Tv
W20207,15016,4025,05-11-2024,64,Mobile
W20208,15054,3783,05-11-2024,101,Laptop
W20209,15078,2835,05-11-2024,12,Laptop
W20210,15095,1191,05-11-2024,121,Laptop
W20211,15083,4212,05-11-2024,111,Smart Tv
W20212,15094,3089,05-11-2024,105,Smart Tv
W20213,15030,4177,05-11-2024,55,Smart Tv
